Payment_Number,Payment_Date,Beginning_Balance,Payment_Amount,Principal_Payment,Interest_Payment,Ending_Balance,Cumulative_Principal,Cumulative_Interest
SCENARIO: OneAZ,Rate: 6.250%,"Original Balance: $538,450.23","Monthly Payment: $3,315.33",Total Payments: 360,"Total Interest: $655,051.64","Total Cost: $1,193,519.05",,
,,,,,,,,
202,2042-05-01,357859.95,3315.33,1451.48,1863.85,356408.48,182041.75,485791.19
203,2042-06-01,356408.48,3315.33,1459.04,1856.29,354949.44,183500.79,487655.05
204,2042-07-01,354949.44,3315.33,1466.64,1848.7,353482.81,184967.42,489511.34
205,2042-08-01,353482.81,3315.33,1474.27,1841.06,352008.53,186441.7,491360.03
206,2042-09-01,352008.53,3315.33,1481.95,1833.38,350526.58,187923.65,493201.09
207,2042-10-01,350526.58,3315.33,1489.67,1825.66,349036.91,189413.32,495034.47
208,2042-11-01,349036.91,3315.33,1497.43,1817.9,347539.48,190910.75,496860.13
209,2042-12-01,347539.48,3315.33,1505.23,1810.1,346034.25,192415.98,498678.03
210,2043-01-01,346034.25,3315.33,1513.07,1802.26,344521.18,193929.05,500488.13
211,2043-02-01,344521.18,3315.33,1520.95,1794.38,343000.23,195450.0,502290.39
212,2043-03-01,343000.23,3315.33,1528.87,1786.46,341471.36,196978.87,504084.77
213,2043-04-01,341471.36,3315.33,1536.83,1778.5,339934.52,198515.71,505871.23
214,2043-05-01,339934.52,3315.33,1544.84,1770.49,338389.69,200060.54,507649.73
215,2043-06-01,338389.69,3315.33,1552.88,1762.45,336836.8,201613.43,509420.22
216,2043-07-01,336836.8,3315.33,1560.97,1754.36,335275.83,203174.4,511182.67
217,2043-08-01,335275.83,3315.33,1569.1,1746.23,333706.73,204743.5,512937.03
218,2043-09-01,333706.73,3315.33,1577.27,1738.06,332129.45,206320.78,514683.25
219,2043-10-01,332129.45,3315.33,1585.49,1729.84,330543.96,207906.27,516421.31
220,2043-11-01,330543.96,3315.33,1593.75,1721.58,328950.21,209500.02,518151.15
221,2043-12-01,328950.21,3315.33,1602.05,1713.28,327348.17,211102.06,519872.73
222,2044-01-01,327348.17,3315.33,1610.39,1704.94,325737.77,212712.46,521586.02
223,2044-02-01,325737.77,3315.33,1618.78,1696.55,324118.99,214331.24,523290.95
224,2044-03-01,324118.99,3315.33,1627.21,1688.12,322491.78,215958.45,524987.51
225,2044-04-01,322491.78,3315.33,1635.69,1679.64,320856.1,217594.13,526675.63
226,2044-05-01,320856.1,3315.33,1644.21,1671.13,319211.89,219238.34,528355.27
227,2044-06-01,319211.89,3315.33,1652.77,1662.56,317559.12,220891.11,530026.4
228,2044-07-01,317559.12,3315.33,1661.38,1653.95,315897.75,222552.48,531688.96
229,2044-08-01,315897.75,3315.33,1670.03,1645.3,314227.72,224222.51,533342.91
230,2044-09-01,314227.72,3315.33,1678.73,1636.6,312548.99,225901.24,534988.21
231,2044-10-01,312548.99,3315.33,1687.47,1627.86,310861.52,227588.71,536624.81
232,2044-11-01,310861.52,3315.33,1696.26,1619.07,309165.26,229284.97,538252.67
233,2044-12-01,309165.26,3315.33,1705.09,1610.24,307460.16,230990.07,539871.74
234,2045-01-01,307460.16,3315.33,1713.98,1601.36,305746.19,232704.04,541481.98
235,2045-02-01,305746.19,3315.33,1722.9,1592.43,304023.28,234426.95,543083.34
236,2045-03-01,304023.28,3315.33,1731.88,1583.45,302291.41,236158.82,544675.76
237,2045-04-01,302291.41,3315.33,1740.9,1574.43,300550.51,237899.72,546259.22
238,2045-05-01,300550.51,3315.33,1749.96,1565.37,298800.55,239649.68,547833.65
239,2045-06-01,298800.55,3315.33,1759.08,1556.25,297041.47,241408.76,549399.02
240,2045-07-01,297041.47,3315.33,1768.24,1547.09,295273.23,243177.0,550955.27
241,2045-08-01,295273.23,3315.33,1777.45,1537.88,293495.78,244954.45,552502.36
242,2045-09-01,293495.78,3315.33,1786.71,1528.62,291709.07,246741.16,554040.24
243,2045-10-01,291709.07,3315.33,1796.01,1519.32,289913.06,248537.17,555568.87
244,2045-11-01,289913.06,3315.33,1805.37,1509.96,288107.69,250342.54,557088.19
245,2045-12-01,288107.69,3315.33,1814.77,1500.56,286292.92,252157.31,558598.15
246,2046-01-01,286292.92,3315.33,1824.22,1491.11,284468.7,253981.53,560098.71
247,2046-02-01,284468.7,3315.33,1833.72,1481.61,282634.98,255815.25,561589.82
248,2046-03-01,282634.98,3315.33,1843.27,1472.06,280791.71,257658.52,563071.43
249,2046-04-01,280791.71,3315.33,1852.87,1462.46,278938.83,259511.4,564543.49
250,2046-05-01,278938.83,3315.33,1862.52,1452.81,277076.31,261373.92,566005.94
251,2046-06-01,277076.31,3315.33,1872.22,1443.11,275204.08,263246.15,567458.75
252,2046-07-01,275204.08,3315.33,1881.98,1433.35,273322.11,265128.12,568901.85
253,2046-08-01,273322.11,3315.33,1891.78,1423.55,271430.33,267019.9,570335.21
254,2046-09-01,271430.33,3315.33,1901.63,1413.7,269528.7,268921.53,571758.76
255,2046-10-01,269528.7,3315.33,1911.54,1403.8,267617.16,270833.07,573172.46
256,2046-11-01,267617.16,3315.33,1921.49,1393.84,265695.67,272754.56,574576.26
257,2046-12-01,265695.67,3315.33,1931.5,1383.83,263764.17,274686.06,575970.1
258,2047-01-01,263764.17,3315.33,1941.56,1373.77,261822.61,276627.62,577353.93
259,2047-02-01,261822.61,3315.33,1951.67,1363.66,259870.94,278579.29,578727.7
260,2047-03-01,259870.94,3315.33,1961.84,1353.49,257909.11,280541.12,580091.36
261,2047-04-01,257909.11,3315.33,1972.05,1343.28,255937.05,282513.18,581444.85
