Payment_Number,Payment_Date,Beginning_Balance,Payment_Amount,Principal_Payment,Interest_Payment,Ending_Balance,Cumulative_Principal,Cumulative_Interest
SCENARIO: Sage,Rate: 6.179%,"Original Balance: $538,450.23","Monthly Payment: $3,290.51",Total Payments: 360,"Total Interest: $646,115.31","Total Cost: $1,184,582.40",,
,,,,,,,,
139,2037-02-01,434697.83,3290.51,1052.18,2238.33,433645.66,104804.57,350337.52
140,2037-03-01,433645.66,3290.51,1057.59,2232.91,432588.06,105862.17,352575.85
141,2037-04-01,432588.06,3290.51,1063.04,2227.47,431525.02,106925.21,354808.77
142,2037-05-01,431525.02,3290.51,1068.51,2221.99,430456.51,107993.72,357036.23
143,2037-06-01,430456.51,3290.51,1074.01,2216.49,429382.5,109067.73,359258.23
144,2037-07-01,429382.5,3290.51,1079.54,2210.96,428302.95,110147.28,361474.72
145,2037-08-01,428302.95,3290.51,1085.1,2205.4,427217.85,111232.38,363685.68
146,2037-09-01,427217.85,3290.51,1090.69,2199.82,426127.16,112323.07,365891.09
147,2037-10-01,426127.16,3290.51,1096.31,2194.2,425030.85,113419.38,368090.9
148,2037-11-01,425030.85,3290.51,1101.95,2188.55,423928.9,114521.33,370285.1
149,2037-12-01,423928.9,3290.51,1107.63,2182.88,422821.27,115628.96,372473.66
150,2038-01-01,422821.27,3290.51,1113.33,2177.18,421707.94,116742.29,374656.54
151,2038-02-01,421707.94,3290.51,1119.06,2171.44,420588.88,117861.35,376833.71
152,2038-03-01,420588.88,3290.51,1124.82,2165.68,419464.06,118986.17,379005.16
153,2038-04-01,419464.06,3290.51,1130.62,2159.89,418333.44,120116.79,381170.84
154,2038-05-01,418333.44,3290.51,1136.44,2154.07,417197.0,121253.23,383330.73
155,2038-06-01,417197.0,3290.51,1142.29,2148.22,416054.71,122395.52,385484.8
156,2038-07-01,416054.71,3290.51,1148.17,2142.34,414906.54,123543.69,387633.02
157,2038-08-01,414906.54,3290.51,1154.08,2136.42,413752.46,124697.77,389775.35
158,2038-09-01,413752.46,3290.51,1160.03,2130.48,412592.43,125857.8,391911.77
159,2038-10-01,412592.43,3290.51,1166.0,2124.51,411426.43,127023.8,394042.25
160,2038-11-01,411426.43,3290.51,1172.0,2118.5,410254.43,128195.8,396166.76
161,2038-12-01,410254.43,3290.51,1178.04,2112.47,409076.39,129373.84,398285.27
162,2039-01-01,409076.39,3290.51,1184.1,2106.4,407892.29,130557.94,400397.73
163,2039-02-01,407892.29,3290.51,1190.2,2100.31,406702.08,131748.15,402504.14
164,2039-03-01,406702.08,3290.51,1196.33,2094.18,405505.75,132944.48,404604.44
165,2039-04-01,405505.75,3290.51,1202.49,2088.02,404303.26,134146.97,406698.62
166,2039-05-01,404303.26,3290.51,1208.68,2081.82,403094.58,135355.65,408786.64
167,2039-06-01,403094.58,3290.51,1214.91,2075.6,401879.68,136570.55,410868.46
168,2039-07-01,401879.68,3290.51,1221.16,2069.35,400658.52,137791.71,412944.06
169,2039-08-01,400658.52,3290.51,1227.45,2063.06,399431.07,139019.16,415013.41
170,2039-09-01,399431.07,3290.51,1233.77,2056.74,398197.3,140252.93,417076.46
171,2039-10-01,398197.3,3290.51,1240.12,2050.38,396957.18,141493.05,419133.2
172,2039-11-01,396957.18,3290.51,1246.51,2044.0,395710.67,142739.56,421183.59
173,2039-12-01,395710.67,3290.51,1252.93,2037.58,394457.74,143992.49,423227.58
174,2040-01-01,394457.74,3290.51,1259.38,2031.13,393198.36,145251.87,425265.16
175,2040-02-01,393198.36,3290.51,1265.86,2024.64,391932.5,146517.73,427296.29
176,2040-03-01,391932.5,3290.51,1272.38,2018.13,390660.12,147790.11,429320.94
177,2040-04-01,390660.12,3290.51,1278.93,2011.57,389381.19,149069.04,431339.06
178,2040-05-01,389381.19,3290.51,1285.52,2004.99,388095.67,150354.56,433350.64
179,2040-06-01,388095.67,3290.51,1292.14,1998.37,386803.53,151646.7,435355.63
180,2040-07-01,386803.53,3290.51,1298.79,1991.72,385504.74,152945.49,437353.99
181,2040-08-01,385504.74,3290.51,1305.48,1985.03,384199.26,154250.97,439345.71
182,2040-09-01,384199.26,3290.51,1312.2,1978.31,382887.06,155563.17,441330.74
183,2040-10-01,382887.06,3290.51,1318.96,1971.55,381568.1,156882.13,443309.04
184,2040-11-01,381568.1,3290.51,1325.75,1964.76,380242.35,158207.88,445280.59
185,2040-12-01,380242.35,3290.51,1332.58,1957.93,378909.78,159540.45,447245.35
186,2041-01-01,378909.78,3290.51,1339.44,1951.07,377570.34,160879.89,449203.28
187,2041-02-01,377570.34,3290.51,1346.33,1944.17,376224.01,162226.22,451154.35
188,2041-03-01,376224.01,3290.51,1353.27,1937.24,374870.74,163579.49,453098.53
189,2041-04-01,374870.74,3290.51,1360.23,1930.27,373510.51,164939.72,455035.77
190,2041-05-01,373510.51,3290.51,1367.24,1923.27,372143.27,166306.96,456966.04
191,2041-06-01,372143.27,3290.51,1374.28,1916.23,370768.99,167681.24,458889.31
192,2041-07-01,370768.99,3290.51,1381.36,1909.15,369387.63,169062.6,460805.53
193,2041-08-01,369387.63,3290.51,1388.47,1902.04,367999.17,170451.06,462714.68
194,2041-09-01,367999.17,3290.51,1395.62,1894.89,366603.55,171846.68,464616.72
195,2041-10-01,366603.55,3290.51,1402.8,1887.7,365200.74,173249.49,466511.61
196,2041-11-01,365200.74,3290.51,1410.03,1880.48,363790.72,174659.51,468399.31
197,2041-12-01,363790.72,3290.51,1417.29,1873.22,362373.43,176076.8,470279.79
198,2042-01-01,362373.43,3290.51,1424.59,1865.92,360948.84,177501.39,472153.01
199,2042-02-01,360948.84,3290.51,1431.92,1858.59,359516.92,178933.31,474018.93
200,2042-03-01,359516.92,3290.51,1439.29,1851.21,358077.63,180372.6,475877.52
201,2042-04-01,358077.63,3290.51,1446.71,1843.8,356630.92,181819.31,477728.73
202,2042-05-01,356630.92,3290.51,1454.15,1836.35,355176.77,183273.46,479572.53
203,2042-06-01,355176.77,3290.51,1461.64,1828.86,353715.13,184735.1,481408.89
204,2042-07-01,353715.13,3290.51,1469.17,1821.34,352245.96,186204.27,483237.75
205,2042-08-01,352245.96,3290.51,1476.73,1813.77,350769.22,187681.01,485059.09
206,2042-09-01,350769.22,3290.51,1484.34,1806.17,349284.89,189165.34,486872.86
207,2042-10-01,349284.89,3290.51,1491.98,1798.53,347792.91,190657.32,488679.03
208,2042-11-01,347792.91,3290.51,1499.66,1790.84,346293.24,192156.99,490477.56
209,2042-12-01,346293.24,3290.51,1507.39,1783.12,344785.86,193664.37,492268.4
210,2043-01-01,344785.86,3290.51,1515.15,1775.36,343270.71,195179.52,494051.52
211,2043-02-01,343270.71,3290.51,1522.95,1767.56,341747.76,196702.47,495826.88
212,2043-03-01,341747.76,3290.51,1530.79,1759.72,340216.97,198233.26,497594.44
213,2043-04-01,340216.97,3290.51,1538.67,1751.83,338678.3,199771.93,499354.16
214,2043-05-01,338678.3,3290.51,1546.6,1743.91,337131.7,201318.53,501105.99
215,2043-06-01,337131.7,3290.51,1554.56,1735.95,335577.14,202873.09,502849.9
216,2043-07-01,335577.14,3290.51,1562.56,1727.94,334014.58,204435.65,504585.85
217,2043-08-01,334014.58,3290.51,1570.61,1719.9,332443.97,206006.26,506313.79
218,2043-09-01,332443.97,3290.51,1578.7,1711.81,330865.27,207584.96,508033.69
219,2043-10-01,330865.27,3290.51,1586.83,1703.68,329278.45,209171.78,509745.5
220,2043-11-01,329278.45,3290.51,1595.0,1695.51,327683.45,210766.78,511449.18
221,2043-12-01,327683.45,3290.51,1603.21,1687.3,326080.24,212369.99,513144.69
222,2044-01-01,326080.24,3290.51,1611.47,1679.04,324468.78,213981.45,514831.98
